scode,RD_SLT_S_EMH_PCT_ACHL_MT_ONCE_04,RD_SLT_S_EMH_PCT_CIG_ATLEAST_ONCE_04,RD_SLT_S_EMH_PCT_Less_BFAST_04,RD_SLT_S_EMH_PCT_MT_TWO_HRS_TV_04,RD_SLT_S_EMH_PCT_MT_TWO_HRS_VGAMES_04,RD_SLT_S_EMH_PCT_DRUGS_AT_SCHOOL_04,RD_SLT_S_EMH_PCT_YES_ROBBED_04,RD_SLT_S_EMH_PCT_Lesssafe_sameschool_04,RD_SLT_S_EMH_PCT_attendany_afterschl_04,RD_SLT_S_EMH_PCT_paidwork_afterschl_04,RD_SLT_S_EMH_PCT_SPORTSREC_afterschl_04,RD_SLT_S_EMH_PCT_EDUC_afterschl_04,RD_SLT_S_EMH_PCT_VOL_afterschl_04,RD_SLT_S_EMH_PCT_MT_2hrs_TVORVGAMES_04,RD_SLT_S_EMH_PCT_MT_2hrs_TVANDVGAMES_04,RD_SLT_S_EMH_PCT_MT_3hr3days_alone_04,RD_SLT_S_EMH_PCT_ACTMEAN_04,RD_SLT_S_EMH_PCT_BREAKRULES_04,RD_SLT_S_EMH_PCT_FIGHTS_WSTU_04,RD_SLT_S_EMH_PCT_HANG_TRBSTU_04,RD_SLT_S_EMH_PCT_TELLLIE_04,RD_SLT_S_EMH_PCT_HITOTHR_04,RD_SLT_S_EMH_PCT_STEALHME_04,RD_SLT_S_EMH_PCT_STEALOTHR_04,RD_SLT_S_EMH_PCT_CUTCLASS_04,RD_SLT_S_EMH_PCT_GANGACT_04,RD_SLT_S_EMH_PCT_FEELUNSAFE_SCHL_04,RD_SLT_S_EMH_PCT_YES_beatup_04,RD_SLT_S_EMH_PCT_Yes_TBeatup_04,RD_SLT_S_EMH_PCT_Yes_Afraid_04,RD_SLT_S_EMH_PCT_Yes_protection_04,RD_SLT_S_EMH_PCT_BEATUP_PRTCT_04,RD_SLT_S_EMH_PCT_NONWHITE_04,RD_SLT_S_EMH_PCT_ACHL_MT_ONCE_05,RD_SLT_S_EMH_PCT_CIG_ATLEAST_ONCE_05,RD_SLT_S_EMH_PCT_Less_BFAST_05,RD_SLT_S_EMH_PCT_MT_TWO_HRS_TV_05,RD_SLT_S_EMH_PCT_MT_TWO_HRS_VGAMES_05,RD_SLT_S_EMH_PCT_DRUGS_AT_SCHOOL_05,RD_SLT_S_EMH_PCT_YES_ROBBED_05,RD_SLT_S_EMH_PCT_Lesssafe_sameschool_05,RD_SLT_S_EMH_PCT_attendany_afterschl_05,RD_SLT_S_EMH_PCT_paidwork_afterschl_05,RD_SLT_S_EMH_PCT_SPORTSREC_afterschl_05,RD_SLT_S_EMH_PCT_EDUC_afterschl_05,RD_SLT_S_EMH_PCT_VOL_afterschl_05,RD_SLT_S_EMH_PCT_MT_2hrs_TVORVGAMES_05,RD_SLT_S_EMH_PCT_MT_2hrs_TVANDVGAMES_05,RD_SLT_S_EMH_PCT_MT_3hr3days_alone_05,RD_SLT_S_EMH_PCT_ACTMEAN_05,RD_SLT_S_EMH_PCT_BREAKRULES_05,RD_SLT_S_EMH_PCT_FIGHTS_WSTU_05,RD_SLT_S_EMH_PCT_HANG_TRBSTU_05,RD_SLT_S_EMH_PCT_TELLLIE_05,RD_SLT_S_EMH_PCT_HITOTHR_05,RD_SLT_S_EMH_PCT_STEALHME_05,RD_SLT_S_EMH_PCT_STEALOTHR_05,RD_SLT_S_EMH_PCT_CUTCLASS_05,RD_SLT_S_EMH_PCT_GANGACT_05,RD_SLT_S_EMH_PCT_FEELUNSAFE_SCHL_05,RD_SLT_S_EMH_PCT_YES_beatup_05,RD_SLT_S_EMH_PCT_Yes_TBeatup_05,RD_SLT_S_EMH_PCT_Yes_Afraid_05,RD_SLT_S_EMH_PCT_Yes_protection_05,RD_SLT_S_EMH_PCT_BEATUP_PRTCT_05,RD_SLT_S_EMH_PCT_NONWHITE_05,RD_SLT_S_EMH_PCT_ACHL_MT_ONCE_06,RD_SLT_S_EMH_PCT_CIG_ATLEAST_ONCE_06,RD_SLT_S_EMH_PCT_Less_BFAST_06,RD_SLT_S_EMH_PCT_MT_TWO_HRS_TV_06,RD_SLT_S_EMH_PCT_MT_TWO_HRS_VGAMES_06,RD_SLT_S_EMH_PCT_DRUGS_AT_SCHOOL_06,RD_SLT_S_EMH_PCT_YES_ROBBED_06,RD_SLT_S_EMH_PCT_Lesssafe_sameschool_06,RD_SLT_S_EMH_PCT_attendany_afterschl_06,RD_SLT_S_EMH_PCT_paidwork_afterschl_06,RD_SLT_S_EMH_PCT_SPORTSREC_afterschl_06,RD_SLT_S_EMH_PCT_EDUC_afterschl_06,RD_SLT_S_EMH_PCT_VOL_afterschl_06,RD_SLT_S_EMH_PCT_MT_2hrs_TVORVGAMES_06,RD_SLT_S_EMH_PCT_MT_2hrs_TVANDVGAMES_06,RD_SLT_S_EMH_PCT_MT_3hr3days_alone_06,RD_SLT_S_EMH_PCT_ACTMEAN_06,RD_SLT_S_EMH_PCT_BREAKRULES_06,RD_SLT_S_EMH_PCT_FIGHTS_WSTU_06,RD_SLT_S_EMH_PCT_HANG_TRBSTU_06,RD_SLT_S_EMH_PCT_TELLLIE_06,RD_SLT_S_EMH_PCT_HITOTHR_06,RD_SLT_S_EMH_PCT_STEALHME_06,RD_SLT_S_EMH_PCT_STEALOTHR_06,RD_SLT_S_EMH_PCT_CUTCLASS_06,RD_SLT_S_EMH_PCT_GANGACT_06,RD_SLT_S_EMH_PCT_FEELUNSAFE_SCHL_06,RD_SLT_S_EMH_PCT_YES_beatup_06,RD_SLT_S_EMH_PCT_Yes_TBeatup_06,RD_SLT_S_EMH_PCT_Yes_Afraid_06,RD_SLT_S_EMH_PCT_Yes_protection_06,RD_SLT_S_EMH_PCT_BEATUP_PRTCT_06,RD_SLT_S_EMH_PCT_NONWHITE_06,RD_SLT_S_EMH_PCT_ACHL_MT_ONCE_07,RD_SLT_S_EMH_PCT_CIG_ATLEAST_ONCE_07,RD_SLT_S_EMH_PCT_Less_BFAST_07,RD_SLT_S_EMH_PCT_MT_TWO_HRS_TV_07,RD_SLT_S_EMH_PCT_MT_TWO_HRS_VGAMES_07,RD_SLT_S_EMH_PCT_DRUGS_AT_SCHOOL_07,RD_SLT_S_EMH_PCT_YES_ROBBED_07,RD_SLT_S_EMH_PCT_Lesssafe_sameschool_07,RD_SLT_S_EMH_PCT_attendany_afterschl_07,RD_SLT_S_EMH_PCT_paidwork_afterschl_07,RD_SLT_S_EMH_PCT_SPORTSREC_afterschl_07,RD_SLT_S_EMH_PCT_EDUC_afterschl_07,RD_SLT_S_EMH_PCT_VOL_afterschl_07,RD_SLT_S_EMH_PCT_MT_2hrs_TVORVGAMES_07,RD_SLT_S_EMH_PCT_MT_2hrs_TVANDVGAMES_07,RD_SLT_S_EMH_PCT_MT_3hr3days_alone_07,RD_SLT_S_EMH_PCT_ACTMEAN_07,RD_SLT_S_EMH_PCT_BREAKRULES_07,RD_SLT_S_EMH_PCT_FIGHTS_WSTU_07,RD_SLT_S_EMH_PCT_HANG_TRBSTU_07,RD_SLT_S_EMH_PCT_TELLLIE_07,RD_SLT_S_EMH_PCT_HITOTHR_07,RD_SLT_S_EMH_PCT_STEALHME_07,RD_SLT_S_EMH_PCT_STEALOTHR_07,RD_SLT_S_EMH_PCT_CUTCLASS_07,RD_SLT_S_EMH_PCT_GANGACT_07,RD_SLT_S_EMH_PCT_FEELUNSAFE_SCHL_07,RD_SLT_S_EMH_PCT_YES_beatup_07,RD_SLT_S_EMH_PCT_Yes_TBeatup_07,RD_SLT_S_EMH_PCT_Yes_Afraid_07,RD_SLT_S_EMH_PCT_Yes_protection_07,RD_SLT_S_EMH_PCT_BEATUP_PRTCT_07,RD_SLT_S_EMH_PCT_NONWHITE_07,RD_SLT_S_EMH_PCT_ACHL_MT_ONCE_08,RD_SLT_S_EMH_PCT_CIG_ATLEAST_ONCE_08,RD_SLT_S_EMH_PCT_Less_BFAST_08,RD_SLT_S_EMH_PCT_MT_TWO_HRS_TV_08,RD_SLT_S_EMH_PCT_MT_TWO_HRS_VGAMES_08,RD_SLT_S_EMH_PCT_DRUGS_AT_SCHOOL_08,RD_SLT_S_EMH_PCT_YES_ROBBED_08,RD_SLT_S_EMH_PCT_Lesssafe_sameschool_08,RD_SLT_S_EMH_PCT_attendany_afterschl_08,RD_SLT_S_EMH_PCT_paidwork_afterschl_08,RD_SLT_S_EMH_PCT_SPORTSREC_afterschl_08,RD_SLT_S_EMH_PCT_EDUC_afterschl_08,RD_SLT_S_EMH_PCT_VOL_afterschl_08,RD_SLT_S_EMH_PCT_MT_2hrs_TVORVGAMES_08,RD_SLT_S_EMH_PCT_MT_2hrs_TVANDVGAMES_08,RD_SLT_S_EMH_PCT_MT_3hr3days_alone_08,RD_SLT_S_EMH_PCT_ACTMEAN_08,RD_SLT_S_EMH_PCT_BREAKRULES_08,RD_SLT_S_EMH_PCT_FIGHTS_WSTU_08,RD_SLT_S_EMH_PCT_HANG_TRBSTU_08,RD_SLT_S_EMH_PCT_TELLLIE_08,RD_SLT_S_EMH_PCT_HITOTHR_08,RD_SLT_S_EMH_PCT_STEALHME_08,RD_SLT_S_EMH_PCT_STEALOTHR_08,RD_SLT_S_EMH_PCT_CUTCLASS_08,RD_SLT_S_EMH_PCT_GANGACT_08,RD_SLT_S_EMH_PCT_FEELUNSAFE_SCHL_08,RD_SLT_S_EMH_PCT_YES_beatup_08,RD_SLT_S_EMH_PCT_Yes_TBeatup_08,RD_SLT_S_EMH_PCT_Yes_Afraid_08,RD_SLT_S_EMH_PCT_Yes_protection_08,RD_SLT_S_EMH_PCT_BEATUP_PRTCT_08,RD_SLT_S_EMH_PCT_NONWHITE_08
1105,5.46,1.35,7.34,29.03,16.01,0.76,24.33,33.33,95.57,43.16,84.01,82.59,25.34,35.70,8.11,3.94,23.06,19.62,14.67,19.15,11.97,6.72,7.50,3.07,2.30,4.65,6.44,6.10,7.78,38.40,3.80,0.76,8.40,4.84,0.00,6.36,22.36,15.40,0.40,21.34,0.00,97.45,50.00,86.25,79.76,21.80,27.90,9.32,2.58,18.38,19.25,11.26,18.89,8.10,7.10,6.14,1.19,1.58,2.77,3.16,6.72,2.77,28.97,3.19,0.80,6.13,3.29,0.88,6.06,21.77,15.50,0.43,23.13,0.00,98.71,49.45,90.52,83.87,29.80,27.47,9.01,4.10,17.35,16.78,13.48,16.02,7.86,5.68,5.40,0.43,1.29,1.73,5.30,5.12,5.38,29.64,2.12,0.43,9.72,2.92,0.21,5.77,21.41,12.77,0.00,14.20,0.00,97.35,43.72,88.55,85.28,27.64,27.31,6.00,3.30,15.92,24.13,13.21,18.70,5.36,4.49,2.04,0.00,0.81,1.44,5.68,7.11,6.90,36.89,3.68,0.20,10.67,0.68,0.68,4.92,20.09,9.48,0.44,17.14,0.00,98.22,45.37,88.20,83.96,30.27,24.61,4.43,1.62,17.12,18.04,9.80,20.72,6.46,4.46,3.12,0.00,0.89,1.12,4.84,5.54,4.62,29.07,3.96,0.67,9.49
1106,50.27,25.91,61.84,31.69,13.52,39.72,30.89,8.74,77.41,37.62,64.14,54.62,24.64,35.55,9.50,35.52,58.46,54.65,23.63,44.38,52.04,23.96,15.75,18.26,26.64,14.14,16.23,10.42,12.47,25.52,10.87,7.50,18.20,41.76,20.73,38.84,29.46,11.95,31.28,28.75,9.57,80.90,41.54,67.38,58.93,25.88,33.08,8.12,30.89,53.43,45.76,17.93,38.08,44.17,19.80,11.36,12.91,22.18,12.02,13.24,7.64,10.22,25.52,8.86,5.93,13.72,38.50,19.26,35.33,24.22,12.32,25.95,24.75,9.26,80.84,39.40,65.30,58.31,24.25,29.24,7.20,28.62,51.44,48.50,19.29,41.49,42.83,20.40,12.20,14.10,24.72,13.57,12.16,7.45,10.81,21.13,8.16,5.26,15.13,37.00,20.56,37.33,23.59,13.13,26.70,29.42,7.49,81.33,38.73,67.85,55.76,25.22,28.97,7.59,27.81,51.71,45.51,19.93,40.60,40.67,20.31,12.35,14.24,25.53,15.17,14.10,9.77,11.87,20.92,8.78,6.28,18.53,23.04,15.81,31.96,26.37,11.33,22.39,23.05,17.19,80.46,40.24,67.99,55.52,27.19,30.85,6.71,25.31,53.23,46.07,17.81,38.27,43.46,18.07,11.74,13.38,24.03,10.19,10.53,7.26,9.23,25.63,7.36,5.08,14.81
1108,18.72,8.45,23.18,27.35,11.52,13.37,23.63,13.98,91.07,47.35,76.53,62.53,18.46,31.99,6.47,16.14,47.18,40.30,24.63,37.05,28.72,19.68,9.10,7.23,6.55,7.63,9.60,6.53,10.01,25.63,5.61,1.87,12.89,11.46,4.21,21.07,27.93,12.66,7.55,19.90,7.35,92.54,45.74,77.50,64.56,12.34,32.53,7.77,14.36,49.43,41.12,21.01,37.34,31.01,18.00,8.98,5.44,4.92,6.19,7.04,6.29,6.42,28.55,4.65,1.89,11.65,16.73,9.34,22.49,31.72,16.16,13.30,30.50,18.18,88.94,37.20,73.49,63.65,13.13,35.71,11.81,17.25,54.73,46.73,28.32,42.23,31.44,24.84,10.82,9.85,11.57,8.70,11.88,12.17,10.76,34.84,7.88,6.16,14.61,11.57,4.71,21.33,25.15,12.33,5.16,26.97,8.91,89.45,38.63,74.45,60.27,9.03,30.38,6.96,11.99,47.52,44.18,21.85,35.81,29.65,20.79,7.55,6.17,7.14,5.56,7.37,7.00,7.26,31.53,4.67,2.09,11.67,6.39,3.78,17.84,24.54,12.50,6.33,23.03,9.77,91.23,41.02,75.23,66.54,15.95,29.53,7.20,12.57,48.05,39.40,17.10,31.86,24.58,17.12,8.15,4.66,5.68,5.68,8.63,7.24,7.48,26.78,5.68,3.23,13.69
3104,26.73,14.38,36.07,53.50,28.16,18.01,36.47,19.16,81.01,42.35,54.96,55.56,5.75,60.30,20.90,25.63,67.01,61.80,37.59,55.42,50.09,41.09,17.46,14.60,15.25,14.12,15.58,12.94,15.63,36.41,7.58,4.39,11.91,25.70,11.63,32.78,45.96,26.46,13.39,32.67,12.23,79.74,41.74,56.84,53.21,4.13,54.77,16.87,21.18,58.61,56.77,34.99,52.40,42.55,31.52,11.06,11.61,14.88,13.55,13.67,9.56,13.67,34.88,5.45,2.64,13.86,25.69,11.86,35.00,47.64,25.13,10.31,32.36,14.66,80.07,41.80,55.67,55.34,8.28,55.33,16.96,22.92,54.98,56.70,33.56,52.32,40.21,29.95,10.17,11.00,12.89,10.50,13.75,10.31,15.29,35.40,6.36,3.26,10.73,27.61,15.01,34.12,49.64,29.60,16.27,38.88,14.58,79.02,34.55,57.50,57.69,10.69,58.38,20.58,23.44,62.07,57.50,42.03,55.72,46.82,37.68,14.49,17.36,18.44,18.44,18.02,13.54,18.30,37.30,8.48,5.45,13.74,25.81,16.73,32.96,46.01,30.80,16.82,34.71,12.20,77.53,38.84,54.31,50.28,5.84,55.35,21.00,22.57,59.29,60.08,38.30,56.39,48.68,36.77,15.20,14.29,16.85,15.98,16.26,14.02,18.16,37.83,7.68,3.93,13.32
3105,7.33,2.06,7.73,42.33,15.71,1.03,32.31,10.76,93.85,47.64,78.97,75.90,26.06,47.18,9.73,9.59,23.71,28.50,13.92,29.23,21.76,11.86,5.64,3.61,4.10,5.67,8.72,8.72,13.33,34.36,4.64,0.52,7.29,10.26,7.74,10.69,45.03,26.28,3.18,37.34,7.03,96.23,40.38,79.87,77.22,27.39,50.63,19.46,9.17,26.42,37.58,16.46,32.69,22.93,14.65,8.92,7.59,10.13,14.01,17.72,15.82,21.02,40.13,8.86,3.18,10.13,19.87,10.19,12.66,44.00,32.24,6.13,30.25,17.27,89.87,50.64,70.89,72.78,21.94,53.16,21.53,13.14,31.65,37.97,25.32,36.08,20.89,18.35,8.92,8.86,9.55,21.79,14.72,11.11,19.63,39.88,10.43,4.32,12.20,5.63,1.27,9.26,37.97,22.58,0.00,22.09,8.70,90.91,41.61,77.44,69.09,9.82,42.94,16.67,7.94,15.63,20.99,10.43,20.99,5.56,6.79,6.17,1.23,4.35,3.77,7.23,10.37,9.70,37.95,4.32,0.62,8.59,9.49,1.89,13.13,45.00,30.38,1.86,30.63,11.45,88.05,39.24,69.18,65.19,18.99,56.25,18.99,4.26,24.53,26.75,18.35,33.96,19.11,12.50,8.23,5.66,4.38,12.03,12.42,10.63,14.38,39.38,8.70,1.26,8.13
3107,7.48,0.68,21.09,37.59,26.39,1.36,41.22,12.50,87.84,37.41,66.89,62.16,31.97,47.22,16.31,4.41,33.10,38.78,19.05,28.57,22.45,11.49,8.78,8.16,7.48,11.64,11.41,11.41,12.84,27.21,7.48,2.05,9.59,11.56,2.05,25.00,47.83,20.83,2.65,27.81,10.57,95.30,51.01,73.15,79.19,38.73,50.34,16.30,7.34,33.78,34.46,19.59,28.38,16.11,8.78,4.73,4.05,10.07,14.09,11.26,9.46,12.16,37.33,5.37,0.68,10.20,14.62,3.52,13.99,51.47,28.06,0.70,33.10,10.53,95.10,53.52,80.42,83.22,30.28,59.15,18.80,15.83,29.08,37.59,16.55,37.59,17.02,13.48,5.63,2.11,7.04,15.49,14.08,15.49,15.49,31.91,6.34,2.82,5.76,6.45,2.40,12.00,40.68,20.80,1.56,29.69,6.86,93.55,49.19,79.03,74.19,31.71,44.88,14.66,4.55,19.35,29.03,22.22,34.40,12.80,11.11,7.14,2.40,2.40,11.90,11.63,10.24,11.63,30.47,3.88,0.79,10.08,6.67,1.48,13.24,37.04,20.90,0.74,31.11,7.48,92.65,56.30,76.47,72.79,35.56,44.85,12.78,5.93,28.68,34.07,21.32,34.56,8.82,8.82,4.41,0.74,4.41,10.29,11.76,13.24,12.50,41.18,1.47,0.00,8.80
3109,46.58,28.55,71.89,40.90,13.76,32.74,27.20,8.31,60.38,33.93,49.12,40.46,13.37,45.39,9.15,37.92,63.33,57.61,26.64,50.14,53.21,29.80,13.37,14.66,26.22,13.23,11.47,5.26,9.35,21.89,7.59,3.53,7.17,43.26,25.59,45.48,38.20,19.16,29.79,23.76,7.89,65.56,34.41,55.97,39.78,15.22,44.92,12.15,39.18,65.88,54.44,24.72,51.46,54.44,28.16,11.68,13.61,24.03,9.57,12.72,5.90,9.33,21.54,7.69,3.30,9.45,46.34,22.84,46.39,37.19,15.88,24.50,26.17,7.88,64.77,31.61,51.76,38.75,13.51,42.03,10.81,36.49,62.20,56.31,28.16,50.27,49.32,30.48,12.48,14.87,26.09,11.79,11.21,6.56,10.98,22.76,6.43,3.75,11.96,44.98,27.01,48.91,37.11,17.36,25.14,30.24,10.78,63.83,30.80,52.41,39.69,15.12,42.65,11.67,38.89,58.83,56.90,30.74,52.70,51.42,31.25,14.63,19.35,27.20,16.67,15.49,9.86,14.15,28.67,9.15,5.29,12.19,41.81,26.03,42.59,42.84,27.85,30.85,35.01,21.18,58.69,22.77,47.33,33.99,12.25,51.60,18.95,38.82,56.55,55.64,29.62,50.23,52.51,32.22,16.29,19.27,29.68,17.50,17.42,11.97,15.53,28.57,12.01,9.13,14.52
4101,7.43,1.69,20.67,55.95,30.86,2.81,22.73,12.82,83.80,43.10,53.93,61.80,21.71,60.34,24.39,18.59,31.64,39.55,23.43,25.42,16.76,14.61,6.21,6.25,5.65,12.99,9.44,7.91,14.29,35.20,9.60,1.16,74.71,14.29,5.78,12.79,52.10,31.03,2.23,28.65,8.74,88.20,56.00,61.80,71.35,20.45,58.19,23.17,11.61,35.23,37.85,23.03,33.52,16.38,13.56,5.65,5.08,5.06,8.43,10.00,13.97,8.94,36.87,8.38,1.69,73.72,16.38,5.59,25.56,50.29,37.64,2.65,36.51,16.00,83.87,48.91,60.54,64.52,39.34,61.41,24.85,12.96,46.70,45.60,29.83,48.90,21.86,21.98,8.15,5.52,7.26,14.53,12.04,6.28,16.32,35.60,8.11,1.63,85.55,16.78,3.47,23.08,51.82,34.06,2.65,35.33,5.41,88.44,47.59,67.81,71.23,21.53,62.76,20.77,11.20,39.04,29.25,23.65,32.88,17.12,15.75,5.48,4.05,4.05,10.14,16.56,12.00,24.00,43.71,10.00,2.70,79.59,8.96,2.96,11.76,51.47,33.33,0.72,23.19,10.14,87.05,37.50,73.38,64.03,15.11,62.77,21.37,7.44,47.48,26.62,22.30,37.04,25.90,22.30,5.07,3.60,6.47,5.04,14.29,10.00,15.83,41.43,10.71,0.72,84.06
4105,18.99,1.28,17.50,58.23,33.33,1.27,30.00,12.50,92.59,46.05,66.25,76.25,23.75,65.43,25.00,8.97,36.71,27.50,28.40,34.57,13.75,19.75,1.23,2.50,1.25,11.54,8.75,18.75,7.59,29.49,5.00,2.53,75.61,8.97,5.19,22.08,48.65,31.17,3.80,29.49,13.73,88.46,51.28,69.23,70.51,29.87,58.23,19.44,17.74,35.06,38.46,24.68,32.47,21.79,18.18,5.13,6.41,8.97,12.82,16.46,13.92,21.52,43.59,12.66,2.53,75.64,15.12,11.76,18.60,60.26,36.25,5.49,28.89,15.38,87.36,39.76,70.11,70.11,36.90,67.47,26.67,7.79,34.94,31.03,23.26,39.08,24.42,24.14,13.79,13.95,13.79,18.39,12.09,10.99,10.99,36.26,12.09,4.40,75.56,9.86,0.00,12.68,59.70,36.92,2.86,24.29,14.71,85.92,34.29,76.06,67.61,24.64,68.57,25.81,9.09,22.86,23.94,23.94,32.39,21.13,20.00,4.23,4.23,7.14,5.80,11.43,14.29,13.04,47.14,11.43,1.45,82.61,1.49,0.00,16.42,60.00,25.00,2.99,31.34,6.45,85.29,46.27,69.12,70.59,29.41,61.76,21.54,10.77,20.59,20.59,15.94,27.54,13.04,13.04,2.90,2.90,10.29,7.35,7.35,8.82,8.82,35.82,8.96,1.49,79.10
4106,8.94,1.67,16.85,46.59,23.60,2.22,30.56,16.51,85.64,43.82,61.33,61.88,25.41,52.49,16.76,13.33,35.00,31.28,25.14,32.78,18.23,25.97,4.42,7.18,3.87,5.52,12.22,10.67,17.78,34.27,6.25,1.72,86.63,5.20,1.73,16.76,52.98,33.73,1.14,32.00,19.00,83.24,42.44,68.60,65.50,23.81,59.77,25.63,19.17,35.63,31.03,24.28,35.84,17.54,24.71,4.62,2.89,5.75,10.18,14.86,13.22,17.71,44.57,6.40,1.17,87.01,12.93,0.69,15.65,57.55,31.25,2.00,34.87,14.68,86.58,31.97,63.76,66.44,19.46,63.76,22.39,15.04,42.86,28.86,23.49,39.04,20.95,23.13,6.71,5.37,10.74,8.84,15.79,15.23,14.00,43.05,9.33,1.34,89.93,18.52,7.98,15.48,55.28,36.25,6.36,37.57,11.83,85.88,44.91,80.00,64.29,30.72,66.07,23.53,10.67,47.65,37.21,28.65,47.34,31.36,31.98,15.29,11.11,10.98,18.45,20.69,20.81,20.23,45.98,22.09,7.60,91.82,16.78,3.31,17.69,66.67,48.95,4.88,34.97,21.43,86.18,35.76,71.05,64.47,13.25,75.33,38.69,12.50,43.62,43.05,31.33,46.00,34.00,27.33,8.78,11.41,8.00,14.29,15.76,14.02,19.63,41.10,8.54,0.61,93.29
4108,36.34,14.57,68.64,55.30,19.55,20.22,18.83,9.84,46.60,18.81,37.17,27.13,10.92,60.14,14.51,33.00,45.60,50.62,18.29,45.34,44.78,24.62,8.12,14.94,40.33,12.62,9.74,5.29,7.72,20.16,10.01,2.85,87.69,41.74,17.06,55.73,57.88,21.40,19.36,19.91,7.41,48.46,19.03,38.64,27.06,12.34,62.50,16.30,32.70,47.67,51.32,21.12,47.04,46.81,26.75,11.30,16.28,39.75,16.67,11.41,7.12,9.64,25.26,10.99,4.25,85.69,37.65,14.93,51.95,58.06,22.29,19.35,22.59,19.42,45.93,16.89,36.97,25.80,10.72,63.10,16.36,29.11,44.43,51.59,22.17,49.71,48.33,26.82,10.22,16.57,47.96,16.42,12.38,8.52,9.62,24.09,10.46,3.78,86.96,36.71,16.34,55.57,54.21,19.94,15.78,20.27,10.83,46.65,17.21,37.71,23.70,11.71,59.75,13.98,28.67,41.36,47.16,20.11,41.70,44.58,23.82,9.97,13.07,39.19,14.33,9.84,6.28,8.54,21.36,8.92,3.08,89.56,29.27,8.86,52.00,54.38,21.15,12.44,17.76,10.79,45.50,16.73,38.05,22.02,13.12,60.11,15.01,28.77,40.21,46.49,16.49,41.05,39.65,22.28,7.54,11.93,33.69,11.38,7.53,5.10,6.10,16.58,7.87,2.98,90.71
4109,30.00,7.50,15.85,48.72,30.00,9.20,20.69,9.80,79.76,31.71,64.29,56.63,17.46,50.00,27.63,23.21,40.24,38.10,21.43,30.95,10.84,18.82,7.06,10.59,1.18,6.02,9.20,11.49,10.47,22.09,5.81,0.00,94.19,6.10,1.22,21.95,48.72,36.25,2.47,18.99,8.51,80.00,38.27,63.10,54.76,14.46,59.52,22.97,17.11,23.75,25.30,15.48,23.81,19.28,14.29,5.95,3.53,0.00,10.84,6.10,8.64,12.35,14.63,4.94,3.80,89.16,10.67,8.00,28.57,50.00,38.36,1.41,27.40,11.63,81.82,56.34,67.11,67.12,13.70,58.97,27.54,23.73,30.67,23.38,27.27,29.87,15.79,20.78,10.26,7.79,7.69,16.88,9.33,10.96,15.28,31.08,6.94,1.43,87.69,14.29,10.71,25.86,41.07,33.90,0.00,27.69,14.71,86.89,39.29,67.21,81.36,28.57,49.18,24.07,13.04,20.97,22.22,11.11,33.33,14.29,12.70,6.45,4.84,6.56,7.94,15.15,13.64,18.46,40.00,7.58,1.54,86.57,16.18,1.47,30.99,50.00,43.28,5.63,34.78,17.50,91.55,53.62,72.86,75.71,36.92,57.97,33.33,13.33,31.34,33.82,23.53,39.71,18.18,17.19,10.61,11.76,3.03,11.76,18.06,14.08,19.72,29.58,8.45,2.90,79.10
4115,20.64,8.03,43.70,64.60,26.93,9.69,28.31,17.83,56.15,22.91,40.31,31.49,8.14,68.98,21.55,16.44,48.16,54.03,30.34,56.00,41.88,35.57,10.97,15.24,22.65,15.29,12.29,7.17,14.61,36.03,9.96,2.00,84.78,20.15,14.80,44.33,57.93,29.94,12.71,25.30,11.52,57.47,24.82,43.17,33.67,11.72,65.79,21.32,14.55,43.64,49.79,34.70,50.07,41.70,37.80,18.78,23.54,25.46,20.23,16.21,12.47,17.98,35.26,14.76,5.94,85.45,17.92,7.39,39.64,57.88,29.97,7.43,20.60,14.69,59.67,25.10,46.64,34.84,11.89,64.24,23.01,16.19,48.97,50.89,31.62,49.44,41.76,37.76,11.59,17.73,23.82,14.66,11.05,9.31,13.50,31.71,11.26,3.53,89.68,20.60,6.28,45.72,58.81,30.45,9.30,23.82,8.56,61.32,25.71,44.71,33.68,10.21,66.86,21.79,17.04,51.25,55.39,31.31,53.12,41.86,38.64,10.52,17.11,21.01,13.57,10.70,7.43,10.86,31.86,8.60,1.87,90.79,20.06,8.06,38.20,58.06,32.46,11.74,25.33,14.77,58.41,22.92,44.96,37.16,12.16,66.57,23.48,18.14,48.50,50.07,32.33,50.15,42.77,36.14,15.21,16.92,22.46,13.14,14.16,10.87,13.04,34.44,11.87,3.35,90.58
